Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"22E","22-E","140","4210102205000","42","101",2641,2641,2602,36,3,794,794,744,50,49,1,744,444,300
"22F","22-F","140","4210102206000","42","101",2749,2749,2712,35,2,784,784,754,30,28,2,754,581,173
"22G","22-G","140","4210102207000","42","101",2082,2082,2036,46,0,508,508,495,13,13,0,495,219,276
"22H","22-H","140","4210102208000","42","101",2065,2065,2048,14,3,554,554,523,31,31,0,523,285,238
"22I","22-I","140","4210102209000","42","101",867,867,833,30,4,128,128,117,11,11,0,117,102,15
"22J","22-J","140","4210102210000","42","101",541,541,516,25,0,66,66,62,4,4,0,62,39,23
"22K","22-K","140","4210102211000","42","101",26,26,26,0,0,5,5,5,0,0,0,5,0,5
"22L","22-L","140","4210102212000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22M","22-M","140","4210102213000","42","101",30,30,30,0,0,5,5,5,0,0,0,5,3,2
"22N","22-N","140","4210102214000","42","101",105,105,104,1,0,25,25,24,1,1,0,24,20,4
"22O","22-O","140","4210102215000","42","101",1176,1176,1137,39,0,333,333,317,16,16,0,317,145,172
"22P","22-P","140","4210102216000","42","101",1865,1865,1761,104,0,443,443,421,22,18,4,421,167,254
"22Q","22-Q","140","4210102217000","42","101",106,106,103,3,0,27,27,23,4,4,0,23,8,15
"22R","22-R","140","4210102218000","42","101",1266,1266,1210,56,0,153,153,147,6,5,1,147,88,59
"22S","22-S","140","4210102219000","42","101",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22T","22-T","140","4210102220000","42","101",574,574,534,39,1,152,152,141,11,5,6,141,121,20
"22U","22-U","140","4210102221000","42","101",4294,4294,4260,31,3,1290,1290,1220,70,65,5,1220,527,693
"22V","22-V","140","4210102222000","42","101",2127,2127,2068,55,4,648,648,567,81,78,3,567,236,331
"22W","22-W","140","4210102223000","42","101",2294,2294,2211,83,0,660,660,616,44,43,1,616,369,247
