Geo_NAME,Geo_QName,Geo_FIPS,Geo_SUMLEV,Geo_GEOCOMP,Geo_STATE,Geo_COUNTY,Geo_COUNTYSC,Geo_COUSUB,Geo_TRACT,SE_T001_001,SE_T054_001,SE_T054_002,SE_T054_003,SE_T054_004,SE_T054_005,SE_T054_006,SE_T054_007,SE_T054_008,SE_T060_001,SE_T060_002,SE_T060_003,SE_T060_004,SE_T060_005,SE_T060_006,SE_T060_007,SE_T060_008,SE_T061_001,SE_T061_002,SE_T061_003,SE_T062_001,SE_T062_002,SE_T062_003,SE_T068_001,SE_T069_001,SE_T069_002,SE_T069_003,SE_T070_001,SE_T070_002,SE_T070_003,SE_T072_001,SE_T055_010
Census Tract 12.02,"Census Tract 12.02, Philadelphia County, Pennsylvania",42101001202,140,0,42,101,21,,1202,5137,5137,4330,291,9,321,3,45,138,3131,2672,157,5,202,1,21,73,3131,134,2997,3131,2570,561,3529,3131,843,2288,3529,3131,398,2418,262
Census Tract 13,"Census Tract 13, Philadelphia County, Pennsylvania",42101001300,140,0,42,101,21,,1300,4942,4942,2886,1583,13,243,1,54,162,2470,1524,751,5,117,1,18,54,2470,71,2399,2470,1475,995,2868,2470,1388,1082,2868,2470,398,1527,182
Census Tract 14,"Census Tract 14, Philadelphia County, Pennsylvania",42101001400,140,0,42,101,21,,1400,3950,3950,2499,1034,7,222,1,77,110,2129,1362,586,5,100,1,28,47,2129,83,2046,2129,1316,813,2373,2129,843,1286,2373,2129,244,1545,208
Census Tract 15,"Census Tract 15, Philadelphia County, Pennsylvania",42101001500,140,0,42,101,21,,1500,2708,2708,1952,458,0,185,2,37,74,1336,1015,200,0,76,0,22,23,1336,68,1268,1336,969,367,1545,1336,686,650,1545,1336,209,849,172
Census Tract 16,"Census Tract 16, Philadelphia County, Pennsylvania",42101001600,140,0,42,101,21,,1600,2192,2192,1871,113,3,95,2,28,80,1162,1028,60,2,42,1,9,20,1162,42,1120,1162,1000,162,1294,1162,487,675,1294,1162,132,757,120
Census Tract 17,"Census Tract 17, Philadelphia County, Pennsylvania",42101001700,140,0,42,101,21,,1700,2647,2647,2282,163,4,97,1,39,61,1392,1230,88,0,42,0,14,18,1392,39,1353,1392,1204,188,1498,1392,773,619,1498,1392,106,854,100
Census Tract 18,"Census Tract 18, Philadelphia County, Pennsylvania",42101001800,140,0,42,101,21,,1800,2873,2873,2022,559,2,174,0,42,74,1382,1064,207,2,66,0,17,26,1382,54,1328,1382,1033,349,1628,1382,736,646,1628,1382,246,792,133
Census Tract 19,"Census Tract 19, Philadelphia County, Pennsylvania",42101001900,140,0,42,101,21,,1900,2721,2721,1345,1108,8,121,3,67,69,1292,655,514,6,63,1,23,30,1292,79,1213,1292,618,674,1524,1292,673,619,1524,1292,232,833,194
Census Tract 20,"Census Tract 20, Philadelphia County, Pennsylvania",42101002000,140,0,42,101,21,,2000,2092,2092,132,1831,8,36,0,22,63,861,56,763,3,13,0,8,18,861,22,839,861,52,809,1066,861,458,403,1066,861,205,388,70
Census Tract 21,"Census Tract 21, Philadelphia County, Pennsylvania",42101002100,140,0,42,101,21,,2100,2036,2036,269,1630,7,12,1,52,65,840,116,683,2,5,0,10,24,840,25,815,840,107,733,1090,840,483,357,1090,840,250,396,108
