Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T057_001
"42101020800","14000US42101020800","Census Tract 208, Philadelphia County, Pennsylvania","Census Tract 208, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014216",,,,,"42","101",,,,"020800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36218
"42101020900","14000US42101020900","Census Tract 209, Philadelphia County, Pennsylvania","Census Tract 209, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014217",,,,,"42","101",,,,"020900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61625
"42101021000","14000US42101021000","Census Tract 210, Philadelphia County, Pennsylvania","Census Tract 210, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014218",,,,,"42","101",,,,"021000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67132
"42101021100","14000US42101021100","Census Tract 211, Philadelphia County, Pennsylvania","Census Tract 211, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014219",,,,,"42","101",,,,"021100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66964
"42101021200","14000US42101021200","Census Tract 212, Philadelphia County, Pennsylvania","Census Tract 212, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014220",,,,,"42","101",,,,"021200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62547
"42101021300","14000US42101021300","Census Tract 213, Philadelphia County, Pennsylvania","Census Tract 213, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014221",,,,,"42","101",,,,"021300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58386
"42101021400","14000US42101021400","Census Tract 214, Philadelphia County, Pennsylvania","Census Tract 214, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014222",,,,,"42","101",,,,"021400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59167
"42101021500","14000US42101021500","Census Tract 215, Philadelphia County, Pennsylvania","Census Tract 215, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014223",,,,,"42","101",,,,"021500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69855
"42101021600","14000US42101021600","Census Tract 216, Philadelphia County, Pennsylvania","Census Tract 216, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014224",,,,,"42","101",,,,"021600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49245
"42101021700","14000US42101021700","Census Tract 217, Philadelphia County, Pennsylvania","Census Tract 217, Philadelphia County, Pennsylvania","pa","140","00","ACSSF","0014225",,,,,"42","101",,,,"021700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65286
