g_yr,g_cy,Geo_FIPS,g_id,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
2000,5,34005702803,34,34,1355.10482254652,17.0024493189089,865.023413828214,69.0053552904957,28.001743582952102,1286.0994672560198,4.00033211103849,239.023206258815,0.0,1286.0994672560198,,,,383.072441720271,,,,4079.3,70.00909,2703.0640000000003,152.0082,14.000829999999999,0.0001245416,88.00548,1052.212,1405.10714732379,1355.10482254652,1277.09755761756,78.007264928967,50.0023247772694
2000,5,34005702804,34,34,990.0,6.0,606.0,40.0,18.0,950.0,2.0,184.0,0.0,950.0,,,,326.0,,,,2945.0,27.0,1884.0,88.0,6.0,0.0,83.0,857.0,1017.0,990.0,931.0,59.0,27.0
2000,5,34005702805,34,34,1278.0,25.0,793.0,69.0,37.0,1209.0,1.0,233.0,0.0,1209.0,,,,364.0,,,,4044.0,85.0,2610.0,208.0,5.0,1.0,134.0,1001.0,1317.0,1278.0,1201.0,77.0,39.0
2000,5,34005702806,34,34,1220.0,17.0,768.0,63.0,29.0,1157.0,5.0,206.0,2.0,1157.0,,,,346.0,,,,4032.0,78.0,2637.0,152.0,13.0,3.0,127.0,1022.0,1275.0,1220.0,1109.0,111.0,55.0
2000,5,34005702807,34,34,888.5503418348759,14.0357771192664,526.454094206073,49.051372273818394,19.0302729470715,839.4989695610581,3.0,181.42565598306598,1.00091736203247,839.4989695610581,,,,283.983412098809,,,,2777.2070000000003,48.157790000000006,1686.152,125.1193,5.004587,4.000916999999999,81.07155,827.7007,935.5952925744671,888.5503418348759,796.001759339458,92.5485824954175,47.0449507395911
2000,5,34005702808,34,34,1107.0,23.0,709.0,55.0,39.0,1052.0,2.0,195.0,0.0,1052.0,,,,291.0,,,,3506.0,88.0,2363.0,192.0,4.0,1.0,93.0,765.0,1155.0,1107.0,1019.0,88.0,48.0
2000,5,34005702809,34,34,602.0,0.0,380.0,18.0,14.0,584.0,2.0,199.0,1.0,584.0,,,,189.0,,,,1480.0,4.0,994.0,64.0,6.0,1.0,30.0,381.0,652.0,602.0,471.0,131.0,50.0
2000,5,34005702810,34,34,469.0,4.0,303.0,21.0,12.0,448.0,0.0,60.0,0.0,448.0,,,,138.0,,,,1507.0,15.0,1070.0,44.0,2.0,0.0,24.0,352.0,485.0,469.0,451.0,18.0,16.0
2000,5,34005702811,34,34,920.1661898275729,14.0038832474562,675.037121212971,31.0084904902008,17.002764345646803,889.1576993373719,8.00052654202795,157.036792124203,0.0,889.1576993373719,,,,188.114851979847,,,,2759.475,51.01441,2076.101,63.01303000000001,14.001320000000002,2.000197,52.00869,501.3363,943.1698756217689,920.1661898275729,888.154671720711,32.0115181068615,23.0036857941957
2000,5,34005702905,34,34,1752.61094477724,57.9210454684216,78.89245848285009,34.9523550240475,13.980942009619,1717.65858975319,0.9986387149727859,644.121971157447,0.0,1717.65858975319,,,,1566.8641437923002,,,,4156.334,145.8013,196.7318,40.94419,1.997277,0.0,22.96869,3747.8909999999996,1801.54424181091,1752.61094477724,1166.41001908821,586.200925689025,48.9332970336665
