g_yr,g_cy,Geo_FIPS,g_id,I,g_st,t_h,t_h_as,t_h_bl,t_h_hi,t_h_mr,t_h_n_hi,t_h_na,t_h_nf,t_h_nh,t_h_nw,t_h_or,t_h_or_fm,t_h_or_nf,t_h_wa,t_h_wh,t_h_wh_fm,t_h_wh_nf,t_p,t_p_as,t_p_bl,t_p_mr,t_p_na,t_p_nh,t_p_or,t_p_wh,t_u,t_u_oc,t_u_oc_oo,t_u_oc_ro,t_u_vc
1980,91,42091202202,42,,42,970.9999968349,16.9999999445863,16.9999999445863,2.99999999022111,,967.999996844679,0.0,76.9999997490086,,,,,,,,,,3023.99999014288,61.999999797903,59.999999804422295,,0.0,,8.99999997066334,2892.99999056989,981.9999967990441,970.9999968349,946.999996913131,23.9999999217689,10.999999964144099
1980,91,42091202301,42,,42,1447.54380123563,6.00970430653433,4.12858086272536,6.00485220090377,,1441.5389490347302,0.0,319.485215628415,,,,,,,,,,3996.1526571239297,20.0420518997089,21.393020889531698,,0.000808684271760285,,17.0202173767348,3937.69655827368,1486.64569607315,1463.5438014897,1220.04807417255,243.495727317154,23.101894583455802
1980,91,42091202302,42,,42,918.9852927052119,5.999903978488869,20.9996639247111,4.99991998207406,,913.985372723138,0.0,192.996911308059,,,,,,,,,,2421.96123931668,35.99942387093321,85.99862369167391,,0.9999839964148121,,5.999903978488869,2292.96330377916,941.9849246227529,902.985548762575,753.987933296768,148.997615465807,38.9993758601777
1980,91,42091202401,42,,42,1606.99998802692,53.9999995976686,323.999997586012,11.999999910592999,,1594.9999881163299,0.0,950.999992914498,,,,,,,,,,2686.99997998029,165.999998763204,618.999995388091,,0.0,,17.9999998658895,1883.99998596311,1798.9999865964103,1606.99998802692,0.0,1606.99998802692,191.99999856948898
1980,91,42091202402,42,,42,1787.0000089584698,33.0000001654334,323.000001619243,17.000000085223302,,1770.0000088732502,0.0,387.000001940083,,,,,,,,,,5303.00002658465,122.000000611603,998.000005003109,,1.00000000501313,,37.000000185486,4145.00002077944,1865.0000093495,1787.0000089584698,1395.00000699332,392.000001965149,78.0000003910245
1980,91,42091202500,42,,42,1692.4129786886301,14.005611669026301,159.009897117446,5.00134234453259,,1687.4116363441,0.999999973407768,327.083887779659,,,,,,,,,,4652.25612861374,87.02560418291,608.038665048878,,4.00026875272546,,33.0023548306244,3920.1892357986103,2097.41992578506,1692.41272243633,900.3547095801371,792.0580128561929,405.00720334872904
1980,91,42091202602,42,,42,948.950822212151,2.00030235666782,9.004924124557869,2.0012742256367297,,946.949547986514,0.000539927204954438,269.001792213065,,,,,,,,,,2741.76381072417,7.000194364809429,37.0075373362924,,1.00036714921589,,1.0017709599487699,2695.7539409139004,964.9566965996049,948.950822212151,594.942119039959,354.008703172192,16.0058743874542
1980,91,42091202603,42,,42,1352.0478277286,11.986673841601801,18.136612111117998,4.0164381270293,,1348.03138960157,1.00410953175732,385.746213410923,,,,,,,,,,3545.33772221649,36.061812401470206,34.539057518972996,,2.00038899607888,,11.084355186509399,3461.65210811346,1394.0559966462602,1352.0478277286,854.8514254600709,497.19640226852897,42.008168917656604
1980,91,42091202604,42,,42,918.350655626165,4.150106391922749,26.6638211395023,4.04473335180522,,914.3059222743599,0.9958904860036529,153.913035516391,,,,,,,,,,2535.19053434347,25.5013084594629,87.29728642389108,,0.999611026324154,,15.9768164822466,2405.41551195155,939.4682521632919,918.36226488584,782.4769344925729,135.885330393267,21.1059872774519
1980,91,42091203000,42,,42,842.803645276806,3.0264202487194596,13.3777830788611,2.0075310110852,,840.796114265721,0.0029205629056394604,284.131571722094,,,,,,,,,,2549.07599745697,23.0728674610542,32.2797064882781,,0.007113290987037209,,5.00676622015422,2488.7095439965,889.526022895704,867.578198087657,614.287001201808,253.291196885849,21.947824808046605
