Geo_Name,Geo_QName,Geo_SUMLEV,Geo_FIPS,Geo_state,Geo_county,SE_T001_001,SE_T009_001,SE_T009_002,SE_T009_003,SE_T009_004,SE_T050_001,SE_T051_001,SE_T051_002,SE_T051_003,SE_T051_004,SE_T051_005,SE_T056_001,SE_T056_002,SE_T056_003
"22V","Census Tract 22V, Philadelphia County, Pennsylvania","140","4210102222000","42","101",2127,2127,2068,55,4,648,648,567,81,78,3,567,236,331
"22W","Census Tract 22W, Philadelphia County, Pennsylvania","140","4210102223000","42","101",2294,2294,2211,83,0,660,660,616,44,43,1,616,369,247
"22X","Census Tract 22X, Philadelphia County, Pennsylvania","140","4210102224000","42","101",3533,3533,3138,395,0,1082,1082,980,102,92,10,980,323,657
"22Y","Census Tract 22Y, Philadelphia County, Pennsylvania","140","4210102225000","42","101",6539,6539,4855,1676,8,1740,1740,1671,69,67,2,1671,766,905
"22Z","Census Tract 22Z, Philadelphia County, Pennsylvania","140","4210102226000","42","101",8269,8269,8099,170,0,2398,2398,2305,93,93,0,2305,1186,1119
"22AA","Census Tract 22AA, Philadelphia County, Pennsylvania","140","4210102227000","42","101",5040,5040,4128,909,3,1676,1676,1538,138,130,8,1538,559,979
"22BB","Census Tract 22BB, Philadelphia County, Pennsylvania","140","4210102228000","42","101",1735,1735,1667,67,1,737,737,646,91,87,4,646,162,484
"22CC","Census Tract 22CC, Philadelphia County, Pennsylvania","140","4210102229000","42","101",2163,2163,2013,150,0,887,887,788,99,80,19,788,230,558
"22DD","Census Tract 22DD, Philadelphia County, Pennsylvania","140","4210102230000","42","101",1951,1951,1418,533,0,605,605,533,72,71,1,533,153,380
"22EE","Census Tract 22EE, Philadelphia County, Pennsylvania","140","4210102231000","42","101",7308,7308,5665,1635,8,1842,1842,1754,88,86,2,1754,611,1143
"22FF","Census Tract 22FF, Philadelphia County, Pennsylvania","140","4210102232000","42","101",3474,3474,3255,219,0,922,922,879,43,43,0,879,480,399
"22GG","Census Tract 22GG, Philadelphia County, Pennsylvania","140","4210102233000","42","101",7703,7703,7356,343,4,1800,1800,1740,60,59,1,1740,743,997
"22HH","Census Tract 22HH, Philadelphia County, Pennsylvania","140","4210102234000","42","101",7559,7559,6703,855,1,2025,2025,1960,65,62,3,1960,644,1316
"22II","Census Tract 22II, Philadelphia County, Pennsylvania","140","4210102235000","42","101",7984,7984,6440,1541,3,2550,2550,2435,115,104,11,2435,948,1487
"22JJ","Census Tract 22JJ, Philadelphia County, Pennsylvania","140","4210102236000","42","101",5284,5284,5278,3,3,1571,1571,1524,47,44,3,1524,759,765
"22KK","Census Tract 22KK, Philadelphia County, Pennsylvania","140","4210102237000","42","101",4369,4369,3866,502,1,1439,1439,1352,87,80,7,1352,586,766
"23A","Census Tract 23A, Philadelphia County, Pennsylvania","140","4210102301000","42","101",1229,1229,1229,0,0,303,303,295,8,8,0,295,145,150
"23B","Census Tract 23B, Philadelphia County, Pennsylvania","140","4210102302000","42","101",2309,2309,2309,0,0,729,729,676,53,53,0,676,175,501
"23C","Census Tract 23C, Philadelphia County, Pennsylvania","140","4210102303000","42","101",1659,1659,1658,1,0,486,486,477,9,8,1,477,254,223
"23D","Census Tract 23D, Philadelphia County, Pennsylvania","140","4210102304000","42","101",7652,7652,7641,9,2,2287,2287,2236,51,51,0,2236,1372,864
"23E","Census Tract 23E, Philadelphia County, Pennsylvania","140","4210102305000","42","101",6091,6091,6069,18,4,2038,2038,1933,105,102,3,1933,979,954
"23F","Census Tract 23F, Philadelphia County, Pennsylvania","140","4210102306000","42","101",5376,5376,5336,40,0,1363,1363,1314,49,49,0,1314,603,711
