Geo_FIPS,Geo_NAME,Geo_QName,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_CT,SE_T001_001,SE_T011_001,SE_T011_002,SE_T011_003,SE_T011_004,SE_T012_001,SE_T012_002,SE_T012_003,SE_T012_004,SE_T012_005,SE_T012_006,SE_T012_007,SE_T077_001,SE_T099_001,SE_T100_001,SE_T100_002,SE_T100_003,SE_T101_001,SE_T101_002,SE_T101_003
"42017103400","Census Tract 1034","Census Tract 1034, Bucks County, Pennsylvania","00","42","017","103400",3553.592,3516.937,3494.276,22.65701,0.003726556,1123.079,902.8708,72.15717,20.74537,51.41181,72.9957,75.05491,11967.6021429675,1220.647,1123.079,937.2839,185.7948,1220.647,1123.079,97.5687
"42017103700","Census Tract 1037","Census Tract 1037, Bucks County, Pennsylvania","00","42","017","103700",1985.368,1905.111,1884.006,21.10467,0.0004557206,620.8103,456.7346,54.41413,10.16755,44.24658,47.4232,62.23833,10498.3487798641,699.1443,620.8103,521.3018,99.50843,699.1443,620.8103,78.33408
"42017103800","Census Tract 1038","Census Tract 1038, Bucks County, Pennsylvania","00","42","017","103800",1089.987,1054.714,1043.948,10.76417,0.002431981,338.8582,245.8379,33.27715,9.780602,23.49654,31.32178,28.42138,10979.4840339405,376.1072,338.8582,288.8791,49.97917,376.1072,338.8582,37.24897
"42017103900","Census Tract 1039","Census Tract 1039, Bucks County, Pennsylvania","00","42","017","103900",2661.784,2592.327,2586.2,0.1299091,5.996759,844.3657,635.4684,55.30511,21.05115,34.25395,71.25339,82.33879,14478.1503190392,981.7738,844.3657,670.8468,173.5189,981.7738,844.3657,137.4081
"42017104000","Census Tract 1040","Census Tract 1040, Bucks County, Pennsylvania","00","42","017","104000",3253.79,3083.77,3079.737,0.01944944,4.013764,973.5723,778.4214,74.0505,5.03502,69.01548,67.03676,54.06358,12291.1338189485,1029.598,973.5723,786.4713,187.101,1029.598,973.5723,56.026
"42017104100","Census Tract 1041","Census Tract 1041, Bucks County, Pennsylvania","00","42","017","104100",576.1891,561.0778,561.0676,1.054775E-06,0.01023966,196.2084,151.0027,7.067972,4.01685,3.051123,13.05714,25.08054,11682.5677897982,201.2566,196.2084,131.9827,64.22566,201.2566,196.2084,5.048211
"42017104201","Census Tract 1042.01","Census Tract 1042.01, Bucks County, Pennsylvania","00","42","017","104201",1215.173,1175.724,1163.526,6.747488,5.44994,375.3013,288.3508,31.14552,12.71736,18.42817,24.65867,31.14631,11869.9072411291,392.692,375.3013,306.5191,68.7822,392.692,375.3013,17.39065
"42017104203","Census Tract 1042.03","Census Tract 1042.03, Bucks County, Pennsylvania","00","42","017","104203",1784.839,1726.895,1708.98,9.910667,8.004836,551.2401,423.5278,45.74635,18.67917,27.06717,36.2185,45.7475,11869.9072411291,576.7834,551.2401,450.2133,101.0269,576.7834,551.2401,25.54325
"42017104204","Census Tract 1042.04","Census Tract 1042.04, Bucks County, Pennsylvania","00","42","017","104204",1674.03,1619.684,1602.88,9.29538,7.507869,517.0173,397.2338,42.90626,17.51951,25.38675,33.96993,42.90734,11869.9072411291,540.9747,517.0173,422.2625,94.75476,540.9747,517.0173,23.95745
"42017104301","Census Tract 1043.01","Census Tract 1043.01, Bucks County, Pennsylvania","00","42","017","104301",1218.148,1194.312,1190.502,2.078052,1.731431,429.8887,290.9032,38.63751,14.14621,24.4913,50.34106,50.00699,13659.595713677,461.958,429.8887,318.4948,111.3939,461.958,429.8887,32.06929
